Type, State, #Threads, Swap Avg Real (ns), Swap Avg CPU (ns), Mismatch
Null, 5, 1, 11.4025, 11.3918, 0
Null, 5, 8, 29.4691, 13.9548, 0
Null, 5, 20, 75.5493, 14.2635, 0
Null, 5, 40, 327.607, 31.0603, 0
Null, 20, 1, 11.4441, 11.4277, 0
Null, 20, 8, 40.2171, 19.3264, 0
Null, 20, 20, 85.3950, 15.6570, 0
Null, 20, 40, 233.088, 21.6004, 0
Null, 100, 1, 10.6967, 10.6864, 0
Null, 100, 8, 29.2505, 13.9209, 0
Null, 100, 20, 78.6110, 14.4627, 0
Null, 100, 40, 310.640, 29.2319, 0
Synchronized, 5, 1, 17.6514, 17.6237, 0
Synchronized, 5, 8, 398.413, 61.5928, 0
Synchronized, 5, 20, 1015.93, 64.1375, 0
Synchronized, 5, 40, 2019.19, 62.5976, 0
Synchronized, 20, 1, 16.4129, 16.3985, 0
Synchronized, 20, 8, 381.793, 58.3722, 0
Synchronized, 20, 20, 1005.82, 61.6028, 0
Synchronized, 20, 40, 2006.63, 61.5555, 0
Synchronized, 100, 1, 17.0767, 17.0660, 0
Synchronized, 100, 8, 374.786, 55.2108, 0
Synchronized, 100, 20, 952.882, 56.5901, 0
Synchronized, 100, 40, 1887.10, 54.0077, 0
Unsynchronized, 5, 1, 12.1564, 12.1431, 0
Unsynchronized, 5, 8, 285.589, 141.997, -11999
Unsynchronized, 5, 20, 419.747, 82.8403, 43010
Unsynchronized, 5, 40, 796.423, 78.7294, 33773
Unsynchronized, 20, 1, 12.1707, 12.1567, 0
Unsynchronized, 20, 8, 328.511, 159.410, 15492
Unsynchronized, 20, 20, 806.001, 156.842, 10258
Unsynchronized, 20, 40, 1578.06, 156.626, 18364
Unsynchronized, 100, 1, 15.4851, 15.4692, 0
Unsynchronized, 100, 8, 273.594, 135.616, -13654
Unsynchronized, 100, 20, 713.643, 141.139, -16053
Unsynchronized, 100, 40, 1387.84, 137.783, -22608
AcmeSafe, 5, 1, 25.3899, 25.3682, 0
AcmeSafe, 5, 8, 1097.60, 538.505, 0
AcmeSafe, 5, 20, 2429.14, 480.843, 0
AcmeSafe, 5, 40, 6324.83, 626.678, 0
AcmeSafe, 20, 1, 24.7634, 24.7391, 0
AcmeSafe, 20, 8, 1054.04, 516.150, 0
AcmeSafe, 20, 20, 2679.82, 534.213, 0
AcmeSafe, 20, 40, 3927.08, 385.893, 0
AcmeSafe, 100, 1, 25.3016, 25.2821, 0
AcmeSafe, 100, 8, 664.666, 331.049, 0
AcmeSafe, 100, 20, 1380.16, 274.889, 0
AcmeSafe, 100, 40, 3725.97, 364.947, 0
